# 总字数共1,011,623,817字
# 制作： https://github.com/studyzy/imewlconverter/blob/master/参考/6763字频表(基数10亿).xls
"汉字","排名","频次","频率","累计频率"
勉,1664,57460,0.006%,95.904%
川,1665,57425,0.006%,95.910%
匹,1666,57408,0.006%,95.915%
屈,1667,57379,0.006%,95.921%
央,1668,57166,0.006%,95.927%
尺,1669,57070,0.006%,95.932%
鹏,1670,56999,0.006%,95.938%
悍,1671,56892,0.006%,95.944%
耸,1672,56820,0.006%,95.949%
悬,1673,56607,0.006%,95.955%
讯,1674,56567,0.006%,95.960%
溜,1675,56565,0.006%,95.966%
喂,1676,56529,0.006%,95.972%
丧,1677,56499,0.006%,95.977%
怔,1678,56131,0.006%,95.983%
拾,1679,56083,0.006%,95.988%
纤,1680,55964,0.006%,95.994%
魄,1681,55631,0.005%,95.999%
括,1682,55580,0.005%,96.005%
乔,1683,55486,0.005%,96.010%
晴,1684,55452,0.005%,96.016%
搜,1685,55345,0.005%,96.021%
掠,1686,55320,0.005%,96.027%
帕,1687,55302,0.005%,96.032%
亿,1688,55280,0.005%,96.038%
孟,1689,55197,0.005%,96.043%
诗,1690,55170,0.005%,96.049%
偶,1691,55115,0.005%,96.054%
琪,1692,54960,0.005%,96.059%
童,1693,54831,0.005%,96.065%
载,1694,54763,0.005%,96.070%
袁,1695,54754,0.005%,96.076%
覆,1696,54669,0.005%,96.081%
悦,1697,54658,0.005%,96.087%
垂,1698,54438,0.005%,96.092%
均,1699,54376,0.005%,96.097%
蕾,1700,54182,0.005%,96.103%
厌,1701,54169,0.005%,96.108%
霞,1702,54143,0.005%,96.113%
诀,1703,54088,0.005%,96.119%
泄,1704,53952,0.005%,96.124%
宠,1705,53938,0.005%,96.129%
臭,1706,53756,0.005%,96.135%
肌,1707,53651,0.005%,96.140%
词,1708,53620,0.005%,96.145%
票,1709,53579,0.005%,96.151%
构,1710,53421,0.005%,96.156%
饰,1711,53395,0.005%,96.161%
袖,1712,53307,0.005%,96.166%
噬,1713,53286,0.005%,96.172%
衡,1714,53284,0.005%,96.177%
穷,1715,52858,0.005%,96.182%
港,1716,52811,0.005%,96.187%
航,1717,52713,0.005%,96.193%
驻,1718,52693,0.005%,96.198%
泥,1719,52671,0.005%,96.203%
脏,1720,52623,0.005%,96.208%
辞,1721,52468,0.005%,96.213%
键,1722,52446,0.005%,96.219%
慎,1723,52346,0.005%,96.224%
眸,1724,52342,0.005%,96.229%
乡,1725,52317,0.005%,96.234%
逆,1726,52209,0.005%,96.239%
撕,1727,52001,0.005%,96.244%
凰,1728,51895,0.005%,96.250%
奸,1729,51762,0.005%,96.255%
催,1730,51699,0.005%,96.260%
缝,1731,51618,0.005%,96.265%
宿,1732,51613,0.005%,96.270%
魅,1733,51527,0.005%,96.275%
凑,1734,51493,0.005%,96.280%
陵,1735,51290,0.005%,96.285%
读,1736,51266,0.005%,96.290%
岸,1737,51265,0.005%,96.295%
歉,1738,51139,0.005%,96.300%
授,1739,51138,0.005%,96.305%
映,1740,51107,0.005%,96.310%
甩,1741,51059,0.005%,96.316%
唱,1742,51055,0.005%,96.321%
崇,1743,50840,0.005%,96.326%
瑶,1744,50794,0.005%,96.331%
暖,1745,50620,0.005%,96.336%
枚,1746,50489,0.005%,96.341%
渡,1747,50291,0.005%,96.346%
稀,1748,50254,0.005%,96.351%
沿,1749,50224,0.005%,96.356%
贤,1750,50223,0.005%,96.361%
扩,1751,50086,0.005%,96.365%
狮,1752,49944,0.005%,96.370%
斥,1753,49873,0.005%,96.375%
恋,1754,49794,0.005%,96.380%
饶,1755,49769,0.005%,96.385%
返,1756,49692,0.005%,96.390%
吩,1757,49684,0.005%,96.395%
捏,1758,49602,0.005%,96.400%
搂,1759,49507,0.005%,96.405%
咳,1760,49402,0.005%,96.410%
斜,1761,49397,0.005%,96.415%
煞,1762,49372,0.005%,96.419%
询,1763,49250,0.005%,96.424%
眯,1764,49228,0.005%,96.429%
赖,1765,49207,0.005%,96.434%
笨,1766,49168,0.005%,96.439%
娅,1767,49074,0.005%,96.444%
督,1768,49002,0.005%,96.449%
洒,1769,48971,0.005%,96.453%
铺,1770,48906,0.005%,96.458%
齿,1771,48896,0.005%,96.463%
卑,1772,48874,0.005%,96.468%
浅,1773,48843,0.005%,96.473%
尬,1774,48690,0.005%,96.478%
尴,1775,48661,0.005%,96.482%
撼,1776,48618,0.005%,96.487%
促,1777,48350,0.005%,96.492%
奖,1778,48317,0.005%,96.497%
染,1779,48252,0.005%,96.502%
酷,1780,47869,0.005%,96.506%
课,1781,47806,0.005%,96.511%
泛,1782,47732,0.005%,96.516%
屠,1783,47640,0.005%,96.520%
祸,1784,47626,0.005%,96.525%
罚,1785,47568,0.005%,96.530%
契,1786,47551,0.005%,96.534%
弗,1787,47525,0.005%,96.539%
刑,1788,47399,0.005%,96.544%
络,1789,47384,0.005%,96.549%
汇,1790,47165,0.005%,96.553%
赐,1791,47141,0.005%,96.558%
夸,1792,47089,0.005%,96.563%
埃,1793,47034,0.005%,96.567%
巡,1794,46969,0.005%,96.572%
摔,1795,46956,0.005%,96.576%
郡,1796,46942,0.005%,96.581%
检,1797,46891,0.005%,96.586%
疗,1798,46872,0.005%,96.590%
俗,1799,46800,0.005%,96.595%
雕,1800,46693,0.005%,96.600%
祥,1801,46681,0.005%,96.604%
葛,1802,46667,0.005%,96.609%
屏,1803,46575,0.005%,96.613%
予,1804,46541,0.005%,96.618%
矿,1805,46483,0.005%,96.623%
俱,1806,46446,0.005%,96.627%
闯,1807,46384,0.005%,96.632%
疲,1808,46320,0.005%,96.636%
呜,1809,46257,0.005%,96.641%
详,1810,46192,0.005%,96.646%
录,1811,46142,0.005%,96.650%
婴,1812,46070,0.005%,96.655%
滋,1813,45973,0.005%,96.659%
寸,1814,45906,0.005%,96.664%
麽,1815,45854,0.005%,96.668%
麦,1816,45695,0.005%,96.673%
迈,1817,45678,0.005%,96.677%
亭,1818,45676,0.005%,96.682%
枝,1819,45616,0.005%,96.686%
婉,1820,45608,0.005%,96.691%
恒,1821,45596,0.005%,96.695%
涛,1822,45559,0.005%,96.700%
嫣,1823,45538,0.005%,96.704%
冠,1824,45483,0.004%,96.709%
昆,1825,45472,0.004%,96.713%
妃,1826,45345,0.004%,96.718%
翅,1827,45314,0.004%,96.722%
窜,1828,45306,0.004%,96.727%
矛,1829,45103,0.004%,96.731%
贪,1830,45052,0.004%,96.736%
绵,1831,45004,0.004%,96.740%
朕,1832,44905,0.004%,96.745%
俏,1833,44698,0.004%,96.749%
编,1834,44673,0.004%,96.753%
瘦,1835,44633,0.004%,96.758%
姜,1836,44590,0.004%,96.762%
斧,1837,44534,0.004%,96.767%
繁,1838,44474,0.004%,96.771%
允,1839,44248,0.004%,96.775%
裹,1840,44137,0.004%,96.780%
辱,1841,44102,0.004%,96.784%
拨,1842,44033,0.004%,96.788%
樱,1843,44007,0.004%,96.793%
蝶,1844,43999,0.004%,96.797%
瞒,1845,43975,0.004%,96.802%
慈,1846,43929,0.004%,96.806%
氛,1847,43918,0.004%,96.810%
咕,1848,43895,0.004%,96.815%
乾,1849,43838,0.004%,96.819%
棋,1850,43783,0.004%,96.823%
雀,1851,43777,0.004%,96.828%
屑,1852,43774,0.004%,96.832%
宾,1853,43570,0.004%,96.836%
後,1854,43568,0.004%,96.840%
晰,1855,43539,0.004%,96.845%
掏,1856,43429,0.004%,96.849%
啪,1857,43401,0.004%,96.853%
愈,1858,43360,0.004%,96.858%
措,1859,43340,0.004%,96.862%
农,1860,43321,0.004%,96.866%
祝,1861,43312,0.004%,96.871%
驶,1862,43310,0.004%,96.875%
誓,1863,43214,0.004%,96.879%
铃,1864,43166,0.004%,96.883%
糟,1865,43133,0.004%,96.888%
捉,1866,43096,0.004%,96.892%
扮,1867,43041,0.004%,96.896%
畏,1868,42924,0.004%,96.900%
韵,1869,42923,0.004%,96.905%
冯,1870,42913,0.004%,96.909%
羊,1871,42711,0.004%,96.913%
咯,1872,42709,0.004%,96.917%
恰,1873,42709,0.004%,96.922%
驱,1874,42511,0.004%,96.926%
淫,1875,42423,0.004%,96.930%
璃,1876,42272,0.004%,96.934%
鼠,1877,42178,0.004%,96.938%
芙,1878,42148,0.004%,96.942%
烁,1879,41965,0.004%,96.947%
咽,1880,41789,0.004%,96.951%
涯,1881,41665,0.004%,96.955%
梯,1882,41560,0.004%,96.959%
夕,1883,41532,0.004%,96.963%
碍,1884,41530,0.004%,96.967%
县,1885,41502,0.004%,96.971%
扇,1886,41487,0.004%,96.975%
崩,1887,41483,0.004%,96.979%
裁,1888,41465,0.004%,96.984%
幅,1889,41320,0.004%,96.988%
愕,1890,41308,0.004%,96.992%
润,1891,41279,0.004%,96.996%
岚,1892,41255,0.004%,97.000%
骷,1893,41199,0.004%,97.004%
卢,1894,41176,0.004%,97.008%
猴,1895,41058,0.004%,97.012%
汤,1896,41028,0.004%,97.016%
健,1897,41010,0.004%,97.020%
杖,1898,40990,0.004%,97.024%
辕,1899,40966,0.004%,97.028%
哇,1900,40925,0.004%,97.032%
鼎,1901,40898,0.004%,97.036%
捕,1902,40844,0.004%,97.040%
恍,1903,40824,0.004%,97.044%
箱,1904,40810,0.004%,97.048%
扣,1905,40616,0.004%,97.052%
遮,1906,40580,0.004%,97.056%
髅,1907,40559,0.004%,97.061%
泡,1908,40527,0.004%,97.065%
育,1909,40512,0.004%,97.069%
翠,1910,40439,0.004%,97.073%
豹,1911,40334,0.004%,97.076%
溃,1912,40276,0.004%,97.080%
麟,1913,40232,0.004%,97.084%
芸,1914,40180,0.004%,97.088%
铜,1915,40057,0.004%,97.092%
逍,1916,40012,0.004%,97.096%
涂,1917,39975,0.004%,97.100%
献,1918,39956,0.004%,97.104%
娃,1919,39882,0.004%,97.108%
评,1920,39866,0.004%,97.112%
党,1921,39783,0.004%,97.116%
述,1922,39752,0.004%,97.120%
饮,1923,39744,0.004%,97.124%
丛,1924,39738,0.004%,97.128%
汹,1925,39622,0.004%,97.132%
棍,1926,39618,0.004%,97.136%
序,1927,39484,0.004%,97.140%
湿,1928,39426,0.004%,97.143%
棒,1929,39393,0.004%,97.147%
嫁,1930,39348,0.004%,97.151%
灾,1931,39318,0.004%,97.155%
挖,1932,39163,0.004%,97.159%
奏,1933,39144,0.004%,97.163%
贯,1934,39091,0.004%,97.167%
冬,1935,39054,0.004%,97.171%
贫,1936,39030,0.004%,97.174%
串,1937,38923,0.004%,97.178%
肥,1938,38909,0.004%,97.182%
漆,1939,38710,0.004%,97.186%
喉,1940,38537,0.004%,97.190%
披,1941,38501,0.004%,97.194%
跌,1942,38470,0.004%,97.197%
阔,1943,38434,0.004%,97.201%
丑,1944,38393,0.004%,97.205%
弘,1945,38342,0.004%,97.209%
昌,1946,38266,0.004%,97.213%
凄,1947,38221,0.004%,97.216%
卧,1948,38180,0.004%,97.220%
穆,1949,38157,0.004%,97.224%
焕,1950,38154,0.004%,97.228%
酸,1951,38132,0.004%,97.231%
坛,1952,38106,0.004%,97.235%
赚,1953,38084,0.004%,97.239%
割,1954,38069,0.004%,97.243%
贺,1955,37990,0.004%,97.246%
砰,1956,37978,0.004%,97.250%
违,1957,37964,0.004%,97.254%
捷,1958,37918,0.004%,97.258%
井,1959,37875,0.004%,97.261%
役,1960,37827,0.004%,97.265%
裸,1961,37629,0.004%,97.269%
筋,1962,37572,0.004%,97.273%
鞭,1963,37527,0.004%,97.276%
涨,1964,37507,0.004%,97.280%
锦,1965,37447,0.004%,97.284%
匪,1966,37432,0.004%,97.287%
宴,1967,37408,0.004%,97.291%
仓,1968,37399,0.004%,97.295%
骚,1969,37114,0.004%,97.299%
耻,1970,37081,0.004%,97.302%
饿,1971,37075,0.004%,97.306%
瓜,1972,36985,0.004%,97.310%
肆,1973,36941,0.004%,97.313%
沐,1974,36858,0.004%,97.317%
妄,1975,36802,0.004%,97.320%
巍,1976,36759,0.004%,97.324%
宛,1977,36675,0.004%,97.328%
裤,1978,36655,0.004%,97.331%
驰,1979,36652,0.004%,97.335%
妥,1980,36633,0.004%,97.339%
嫩,1981,36592,0.004%,97.342%
蠢,1982,36588,0.004%,97.346%
馨,1983,36575,0.004%,97.349%
桥,1984,36563,0.004%,97.353%
霆,1985,36558,0.004%,97.357%
勃,1986,36451,0.004%,97.360%
廖,1987,36442,0.004%,97.364%
龟,1988,36420,0.004%,97.367%
吵,1989,36357,0.004%,97.371%
审,1990,36223,0.004%,97.375%
晌,1991,36219,0.004%,97.378%
款,1992,36093,0.004%,97.382%
戈,1993,35934,0.004%,97.385%
仆,1994,35907,0.004%,97.389%
诧,1995,35844,0.004%,97.392%
搬,1996,35808,0.004%,97.396%
漏,1997,35783,0.004%,97.400%
黎,1998,35783,0.004%,97.403%
蒋,1999,35714,0.004%,97.407%
雯,2000,35593,0.004%,97.410%
灌,2001,35513,0.004%,97.414%
嘶,2002,35511,0.004%,97.417%
盔,2003,35425,0.004%,97.421%
辣,2004,35411,0.004%,97.424%
疆,2005,35354,0.003%,97.428%
桃,2006,35263,0.003%,97.431%
欠,2007,35240,0.003%,97.435%
饱,2008,35224,0.003%,97.438%
械,2009,35155,0.003%,97.442%
抑,2010,35104,0.003%,97.445%
彭,2011,35071,0.003%,97.448%
纠,2012,35058,0.003%,97.452%
勤,2013,34951,0.003%,97.455%
衫,2014,34873,0.003%,97.459%
僧,2015,34825,0.003%,97.462%
购,2016,34769,0.003%,97.466%
弩,2017,34744,0.003%,97.469%
签,2018,34723,0.003%,97.473%
腥,2019,34678,0.003%,97.476%
蓦,2020,34670,0.003%,97.479%
揉,2021,34625,0.003%,97.483%
誉,2022,34545,0.003%,97.486%
呈,2023,34514,0.003%,97.490%
鄙,2024,34438,0.003%,97.493%
窝,2025,34412,0.003%,97.497%
镖,2026,34379,0.003%,97.500%
愚,2027,34359,0.003%,97.503%
腕,2028,34352,0.003%,97.507%
障,2029,34330,0.003%,97.510%
培,2030,34269,0.003%,97.513%
厂,2031,34259,0.003%,97.517%
坠,2032,34251,0.003%,97.520%
拢,2033,34245,0.003%,97.524%
牲,2034,34200,0.003%,97.527%
脾,2035,34096,0.003%,97.530%
涩,2036,34035,0.003%,97.534%
析,2037,33998,0.003%,97.537%
铠,2038,33962,0.003%,97.540%
珊,2039,33954,0.003%,97.544%
尉,2040,33879,0.003%,97.547%
蓉,2041,33863,0.003%,97.551%
幼,2042,33772,0.003%,97.554%
寺,2043,33695,0.003%,97.557%
黛,2044,33682,0.003%,97.561%
麒,2045,33637,0.003%,97.564%
嘲,2046,33597,0.003%,97.567%
怡,2047,33597,0.003%,97.570%
瞳,2048,33594,0.003%,97.574%
趴,2049,33585,0.003%,97.577%
邀,2050,33582,0.003%,97.580%
卿,2051,33454,0.003%,97.584%
蜜,2052,33399,0.003%,97.587%
链,2053,33358,0.003%,97.590%
骤,2054,33324,0.003%,97.594%
毅,2055,33313,0.003%,97.597%
寨,2056,33199,0.003%,97.600%
挨,2057,33195,0.003%,97.604%
刷,2058,33117,0.003%,97.607%
崖,2059,33094,0.003%,97.610%
歪,2060,33059,0.003%,97.613%
嚣,2061,33050,0.003%,97.617%
频,2062,33023,0.003%,97.620%
企,2063,32993,0.003%,97.623%
植,2064,32986,0.003%,97.626%
伐,2065,32965,0.003%,97.630%
晋,2066,32941,0.003%,97.633%
艰,2067,32912,0.003%,97.636%
龄,2068,32838,0.003%,97.639%
崔,2069,32814,0.003%,97.643%
耍,2070,32784,0.003%,97.646%
竞,2071,32678,0.003%,97.649%
拟,2072,32599,0.003%,97.652%
琼,2073,32597,0.003%,97.656%
谨,2074,32525,0.003%,97.659%
碗,2075,32468,0.003%,97.662%
慨,2076,32460,0.003%,97.665%
丘,2077,32397,0.003%,97.668%
涉,2078,32380,0.003%,97.672%
艇,2079,32317,0.003%,97.675%
逊,2080,32201,0.003%,97.678%
磊,2081,32092,0.003%,97.681%
跨,2082,32079,0.003%,97.684%
浴,2083,32063,0.003%,97.687%
柯,2084,32001,0.003%,97.691%
仑,2085,31996,0.003%,97.694%
坑,2086,31948,0.003%,97.697%
骄,2087,31923,0.003%,97.700%
汪,2088,31896,0.003%,97.703%
舱,2089,31865,0.003%,97.706%
颠,2090,31831,0.003%,97.710%
柜,2091,31816,0.003%,97.713%
趟,2092,31815,0.003%,97.716%
盒,2093,31804,0.003%,97.719%
撇,2094,31723,0.003%,97.722%
谅,2095,31719,0.003%,97.725%
荷,2096,31686,0.003%,97.728%
愁,2097,31579,0.003%,97.732%
摧,2098,31566,0.003%,97.735%
踩,2099,31486,0.003%,97.738%
哑,2100,31476,0.003%,97.741%
绑,2101,31345,0.003%,97.744%
坤,2102,31311,0.003%,97.747%
锤,2103,31204,0.003%,97.750%
乳,2104,31160,0.003%,97.753%
宰,2105,31098,0.003%,97.756%
荆,2106,31065,0.003%,97.759%
拓,2107,31044,0.003%,97.762%
陌,2108,31027,0.003%,97.766%
虹,2109,30956,0.003%,97.769%
叮,2110,30955,0.003%,97.772%
竖,2111,30904,0.003%,97.775%
销,2112,30819,0.003%,97.778%
凛,2113,30817,0.003%,97.781%
访,2114,30808,0.003%,97.784%
绽,2115,30772,0.003%,97.787%
惠,2116,30759,0.003%,97.790%
鹿,2117,30629,0.003%,97.793%
沃,2118,30622,0.003%,97.796%
沾,2119,30618,0.003%,97.799%
靖,2120,30613,0.003%,97.802%
堵,2121,30469,0.003%,97.805%
挽,2122,30465,0.003%,97.808%
添,2123,30356,0.003%,97.811%
枯,2124,30294,0.003%,97.814%
哗,2125,30242,0.003%,97.817%
绩,2126,30242,0.003%,97.820%
夷,2127,30228,0.003%,97.823%
兔,2128,30198,0.003%,97.826%
姨,2129,30089,0.003%,97.829%
绳,2130,30067,0.003%,97.832%
纱,2131,30031,0.003%,97.835%
腐,2132,30024,0.003%,97.838%
舟,2133,30004,0.003%,97.841%
辅,2134,30002,0.003%,97.844%
巾,2135,29968,0.003%,97.847%
颈,2136,29924,0.003%,97.850%
迦,2137,29880,0.003%,97.853%
搏,2138,29870,0.003%,97.856%
捂,2139,29864,0.003%,97.859%
筹,2140,29816,0.003%,97.862%
呃,2141,29806,0.003%,97.864%
敖,2142,29643,0.003%,97.867%
藤,2143,29635,0.003%,97.870%
梵,2144,29573,0.003%,97.873%
盼,2145,29501,0.003%,97.876%
逝,2146,29501,0.003%,97.879%
矩,2147,29409,0.003%,97.882%
厨,2148,29403,0.003%,97.885%
膝,2149,29393,0.003%,97.888%
沌,2150,29385,0.003%,97.891%
斌,2151,29276,0.003%,97.894%
逗,2152,29238,0.003%,97.896%
咧,2153,29224,0.003%,97.899%
雁,2154,29224,0.003%,97.902%
擅,2155,29173,0.003%,97.905%
咦,2156,29134,0.003%,97.908%
黯,2157,29118,0.003%,97.911%
憾,2158,29116,0.003%,97.914%
旨,2159,29030,0.003%,97.917%
畅,2160,29021,0.003%,97.920%
芬,2161,28946,0.003%,97.922%
狸,2162,28935,0.003%,97.925%
胳,2163,28924,0.003%,97.928%
楞,2164,28916,0.003%,97.931%
摊,2165,28875,0.003%,97.934%
於,2166,28794,0.003%,97.937%
冻,2167,28768,0.003%,97.940%
泣,2168,28733,0.003%,97.942%
灿,2169,28719,0.003%,97.945%
躬,2170,28663,0.003%,97.948%
哲,2171,28631,0.003%,97.951%
尹,2172,28612,0.003%,97.954%
淋,2173,28612,0.003%,97.957%
薛,2174,28596,0.003%,97.959%
墓,2175,28585,0.003%,97.962%
籍,2176,28583,0.003%,97.965%
嫌,2177,28528,0.003%,97.968%
霉,2178,28524,0.003%,97.971%
牺,2179,28431,0.003%,97.973%
拱,2180,28416,0.003%,97.976%
叉,2181,28386,0.003%,97.979%
捧,2182,28322,0.003%,97.982%
哄,2183,28276,0.003%,97.985%
铭,2184,28266,0.003%,97.987%
嚷,2185,28231,0.003%,97.990%
痒,2186,28224,0.003%,97.993%
膊,2187,28181,0.003%,97.996%
塌,2188,28173,0.003%,97.999%
篇,2189,28112,0.003%,98.001%
歇,2190,28078,0.003%,98.004%
削,2191,27837,0.003%,98.007%
涵,2192,27824,0.003%,98.010%
陡,2193,27694,0.003%,98.012%
斤,2194,27640,0.003%,98.015%
匕,2195,27636,0.003%,98.018%
惶,2196,27572,0.003%,98.021%
摄,2197,27559,0.003%,98.023%
儒,2198,27507,0.003%,98.026%
膛,2199,27489,0.003%,98.029%
隶,2200,27486,0.003%,98.031%
嘟,2201,27408,0.003%,98.034%
寿,2202,27406,0.003%,98.037%
肢,2203,27332,0.003%,98.040%
伪,2204,27309,0.003%,98.042%
励,2205,27286,0.003%,98.045%
眠,2206,27187,0.003%,98.048%
瞄,2207,27166,0.003%,98.050%
辽,2208,27165,0.003%,98.053%
寇,2209,27141,0.003%,98.056%
沟,2210,27118,0.003%,98.058%
哨,2211,27109,0.003%,98.061%
掀,2212,27102,0.003%,98.064%
仲,2213,27081,0.003%,98.066%
逛,2214,27053,0.003%,98.069%
茵,2215,27040,0.003%,98.072%
档,2216,27024,0.003%,98.074%
珑,2217,26983,0.003%,98.077%
羡,2218,26918,0.003%,98.080%
哮,2219,26900,0.003%,98.082%
俘,2220,26896,0.003%,98.085%
嚎,2221,26847,0.003%,98.088%
卒,2222,26822,0.003%,98.090%
汽,2223,26771,0.003%,98.093%
墅,2224,26712,0.003%,98.096%
鉴,2225,26643,0.003%,98.098%
杆,2226,26620,0.003%,98.101%
裙,2227,26608,0.003%,98.104%
描,2228,26557,0.003%,98.106%
攀,2229,26534,0.003%,98.109%
蜂,2230,26523,0.003%,98.111%
赔,2231,26504,0.003%,98.114%
呐,2232,26490,0.003%,98.117%
储,2233,26321,0.003%,98.119%
污,2234,26318,0.003%,98.122%
赋,2235,26273,0.003%,98.124%
嘀,2236,26251,0.003%,98.127%
隙,2237,26249,0.003%,98.130%
吾,2238,26160,0.003%,98.132%
虏,2239,26135,0.003%,98.135%
呻,2240,26102,0.003%,98.137%
炉,2241,26079,0.003%,98.140%
辩,2242,26070,0.003%,98.143%
殷,2243,26050,0.003%,98.145%
嗓,2244,26039,0.003%,98.148%
狞,2245,26008,0.003%,98.150%
彷,2246,25993,0.003%,98.153%
冤,2247,25964,0.003%,98.155%
旺,2248,25925,0.003%,98.158%
耿,2249,25915,0.003%,98.161%
吊,2250,25907,0.003%,98.163%
颊,2251,25878,0.003%,98.166%
播,2252,25809,0.003%,98.168%
偿,2253,25790,0.003%,98.171%
俯,2254,25781,0.003%,98.173%
篮,2255,25733,0.003%,98.176%
溅,2256,25702,0.003%,98.178%
烤,2257,25694,0.003%,98.181%
贾,2258,25673,0.003%,98.183%
缕,2259,25672,0.003%,98.186%
俄,2260,25584,0.003%,98.189%
狄,2261,25584,0.003%,98.191%
擒,2262,25566,0.003%,98.194%
躁,2263,25473,0.003%,98.196%
狡,2264,25443,0.003%,98.199%
嗔,2265,25381,0.003%,98.201%
乏,2266,25324,0.003%,98.204%
罕,2267,25321,0.003%,98.206%
嘎,2268,25313,0.003%,98.209%
蹲,2269,25304,0.003%,98.211%
惩,2270,25245,0.002%,98.214%
谦,2271,25238,0.002%,98.216%
患,2272,25232,0.002%,98.219%
渴,2273,25198,0.002%,98.221%
篷,2274,25186,0.002%,98.224%
咆,2275,25057,0.002%,98.226%
歹,2276,25011,0.002%,98.229%
迁,2277,24993,0.002%,98.231%
押,2278,24986,0.002%,98.234%
粒,2279,24951,0.002%,98.236%
遣,2280,24942,0.002%,98.238%
沸,2281,24836,0.002%,98.241%
辨,2282,24816,0.002%,98.243%
囊,2283,24811,0.002%,98.246%
鳞,2284,24715,0.002%,98.248%
版,2285,24620,0.002%,98.251%
蛛,2286,24577,0.002%,98.253%
蕴,2287,24574,0.002%,98.256%
棠,2288,24562,0.002%,98.258%
狈,2289,24519,0.002%,98.260%
陶,2290,24516,0.002%,98.263%
劣,2291,24421,0.002%,98.265%
蜀,2292,24404,0.002%,98.268%
逢,2293,24403,0.002%,98.270%
祺,2294,24380,0.002%,98.272%
竭,2295,24362,0.002%,98.275%
潇,2296,24282,0.002%,98.277%
苗,2297,24195,0.002%,98.280%
娶,2298,24181,0.002%,98.282%
炽,2299,24166,0.002%,98.284%
戮,2300,24155,0.002%,98.287%
侦,2301,24146,0.002%,98.289%
讽,2302,24129,0.002%,98.292%
芝,2303,24106,0.002%,98.294%
吱,2304,24104,0.002%,98.296%
宅,2305,24051,0.002%,98.299%
甫,2306,24029,0.002%,98.301%
挠,2307,24013,0.002%,98.304%
邓,2308,23965,0.002%,98.306%
订,2309,23864,0.002%,98.308%
玫,2310,23837,0.002%,98.311%
丸,2311,23813,0.002%,98.313%
雍,2312,23813,0.002%,98.315%
厢,2313,23808,0.002%,98.318%
佐,2314,23788,0.002%,98.320%
拐,2315,23787,0.002%,98.322%
叠,2316,23760,0.002%,98.325%
驳,2317,23745,0.002%,98.327%
倭,2318,23687,0.002%,98.329%
兼,2319,23687,0.002%,98.332%
弦,2320,23644,0.002%,98.334%
蔡,2321,23634,0.002%,98.336%
腻,2322,23601,0.002%,98.339%
苟,2323,23588,0.002%,98.341%
昭,2324,23556,0.002%,98.343%
辜,2325,23550,0.002%,98.346%
坡,2326,23445,0.002%,98.348%
兮,2327,23379,0.002%,98.350%
础,2328,23354,0.002%,98.353%
刮,2329,23326,0.002%,98.355%
蓬,2330,23312,0.002%,98.357%
淑,2331,23237,0.002%,98.360%
梭,2332,23230,0.002%,98.362%
廊,2333,23216,0.002%,98.364%
俞,2334,23201,0.002%,98.366%
琉,2335,23179,0.002%,98.369%
胎,2336,23170,0.002%,98.371%
朴,2337,23145,0.002%,98.373%
遵,2338,23142,0.002%,98.376%
厮,2339,23101,0.002%,98.378%
韦,2340,23100,0.002%,98.380%
禀,2341,23022,0.002%,98.382%
妍,2342,22970,0.002%,98.385%
疏,2343,22869,0.002%,98.387%
浸,2344,22843,0.002%,98.389%
茹,2345,22815,0.002%,98.392%
滞,2346,22803,0.002%,98.394%
嗦,2347,22800,0.002%,98.396%
咪,2348,22789,0.002%,98.398%
昊,2349,22738,0.002%,98.401%
敛,2350,22658,0.002%,98.403%
湾,2351,22561,0.002%,98.405%
澜,2352,22492,0.002%,98.407%
瞎,2353,22479,0.002%,98.409%
玻,2354,22464,0.002%,98.412%
溢,2355,22432,0.002%,98.414%
豆,2356,22425,0.002%,98.416%
灼,2357,22331,0.002%,98.418%
斑,2358,22265,0.002%,98.420%
犬,2359,22265,0.002%,98.423%
瞥,2360,22252,0.002%,98.425%
廉,2361,22162,0.002%,98.427%
锅,2362,22098,0.002%,98.429%
祈,2363,22077,0.002%,98.431%
潘,2364,22016,0.002%,98.434%
壶,2365,22003,0.002%,98.436%
聂,2366,22002,0.002%,98.438%
糕,2367,21985,0.002%,98.440%
匠,2368,21979,0.002%,98.442%
顽,2369,21910,0.002%,98.444%
拂,2370,21907,0.002%,98.447%
魁,2371,21817,0.002%,98.449%
榜,2372,21806,0.002%,98.451%
缚,2373,21785,0.002%,98.453%
彪,2374,21739,0.002%,98.455%
碌,2375,21735,0.002%,98.457%
庙,2376,21722,0.002%,98.460%
鹤,2377,21721,0.002%,98.462%
妞,2378,21692,0.002%,98.464%
堕,2379,21684,0.002%,98.466%
昧,2380,21676,0.002%,98.468%
蹄,2381,21648,0.002%,98.470%
兹,2382,21624,0.002%,98.472%
蔽,2383,21567,0.002%,98.475%
谎,2384,21521,0.002%,98.477%
遁,2385,21507,0.002%,98.479%
肠,2386,21502,0.002%,98.481%
焚,2387,21482,0.002%,98.483%
绯,2388,21435,0.002%,98.485%
腔,2389,21434,0.002%,98.487%
嗡,2390,21427,0.002%,98.489%
耽,2391,21368,0.002%,98.492%
栋,2392,21330,0.002%,98.494%
岭,2393,21255,0.002%,98.496%
葬,2394,21253,0.002%,98.498%
盆,2395,21248,0.002%,98.500%
蹦,2396,21246,0.002%,98.502%
